SensorType,SerialNumber,ScoopID,Equation,A,B,C,D,Offset,SensorStatus
Wind,944,na,E1,3.28E+01,-4.50E+00,na,na,na,Active
Wind,946,na,E1,2.40E+01,-1.90E+00,na,na,na,Active
Wind,955,na,E1,3.21E+01,-4.20E+00,na,na,na,Active
Wind,0,na,E1,2.96333300E+01,-3.53333300E+00,na,na,na,na
Imet,45363,na,E2,9.93118592E-04,2.63743049E-04,1.47415476E-07,na,na,Retired
Imet,45364,na,E2,1.01307391E-03,2.61020114E-04,1.52660155E-07,na,na,Retired
Imet,48622,na,E2,1.00880279E-03,2.61500024E-04,1.49421629E-07,na,na,Retired
Imet,48623,na,E2,1.00733068E-03,2.62299300E-04,1.48361439E-07,na,na,Retired
Imet,48627,na,E2,1.00097308E-03,2.62806129E-04,1.46350112E-07,na,na,Retired
Imet,56220,na,E2,1.01704202E-03,2.61212821E-04,1.51670179E-07,na,na,Retired
Imet,57549,B,E2,1.01991700E-03,2.60780405E-04,1.52712244E-07,na,na,Active
Imet,57555,C,E2,1.02009822E-03,2.60475129E-04,1.54057907E-07,na,na,Spare
Imet,57562,A,E2,1.02777010E-03,2.59349232E-04,1.56043078E-07,na,na,Active
Imet,57563,A,E2,9.91077399E-04,2.64646362E-04,1.43596294E-07,na,na,Active
Imet,57564,C,E2,1.01554852E-03,2.61642038E-04,1.50140249E-07,na,na,Spare
Imet,57565,C,E2,1.02812678E-03,2.59630119E-04,1.55078895E-07,na,na,Spare
Imet,58814,B,E2,1.01248342E-03,2.61214144E-04,1.50257257E-07,na,na,Active
Imet,58821,A,E2,1.00786813E-03,2.61722397E-04,1.48476183E-07,na,na,Active
Imet,58822,B,E2,1.00761568E-03,2.61899525E-04,1.49075281E-07,na,na,Active
Imet,0,na,E2,1.01E-03,2.62E-04,1.50E-07,na,na,na
RH,1,A,na,na,na,na,na,2827,Active
RH,2,A,na,na,na,na,na,3108,Active
RH,3,A,na,na,na,na,na,1843,Active
RH,4,B,na,na,na,na,na,4493,Active
RH,5,B,na,na,na,na,na,1723,Active
RH,6,B,na,na,na,na,na,4538,Active
RH,7,C,na,na,na,na,na,-2309,Spare
RH,8,C,na,na,na,na,na,-2256,Spare
RH,9,C,na,na,na,na,na,3742,Spare
